File,Type,Location,Burrow,Site,Feathers,Occupied,Pair,IS_Area,Wet_Soil_Mass,WaterPercentage
Bkgd101_Site2_1.D,Bkgd,Bkgd101,101,Site2,Y,Y,Y,668525,1.9181,0.75
Bkgd101_Site2_2.D,Bkgd,Bkgd101,101,Site2,Y,Y,Y,463173,1.2387,0.75
Bkgd101_Site2_3.D,Bkgd,Bkgd101,101,Site2,Y,Y,Y,675162,1.4859,0.75
Bkgd103_Site2_1.D,Bkgd,Bkgd103,103,Site2,Y,Y,Y,394041,1.9543,0.76
Bkgd103_Site2_2.D,Bkgd,Bkgd103,103,Site2,Y,Y,Y,354326,2.238,0.76
Bkgd103_Site2_3.D,Bkgd,Bkgd103,103,Site2,Y,Y,Y,389570,1.8156,0.76
Bkgd109_Site2_1.D,Bkgd,Bkgd109,109,Site2,N,Y,N,530982,1.7345,0.73
Bkgd109_Site2_2.D,Bkgd,Bkgd109,109,Site2,N,Y,N,603325,1.2177,0.73
Bkgd109_Site2_3.D,Bkgd,Bkgd109,109,Site2,N,Y,N,469534,1.4587,0.73
Bkgd118_Site2_1.D,Bkgd,Bkgd118,118,Site2,Y,Y,N,583763,1.4834,0.77
Bkgd118_Site2_2.D,Bkgd,Bkgd118,118,Site2,Y,Y,N,559118,1.2915,0.77
Bkgd118_Site2_3.D,Bkgd,Bkgd118,118,Site2,Y,Y,N,457997,1.404,0.77
Bkgd131_Site2_1.D,Bkgd,Bkgd131,131,Site2,Y,Y,Y,633098,1.0113,0.71
Bkgd131_Site2_2.D,Bkgd,Bkgd131,131,Site2,Y,Y,Y,599994,1.3426,0.71
Bkgd131_Site2_3.D,Bkgd,Bkgd131,131,Site2,Y,Y,Y,704538,1.5394,0.71
Bkgd147_Site2_1.D,Bkgd,Bkgd147,147,Site2,Y,Y,N,471419,1.5945,0.66
Bkgd147_Site2_2.D,Bkgd,Bkgd147,147,Site2,Y,Y,N,553485,1.4462,0.66
Bkgd147_Site2_3.D,Bkgd,Bkgd147,147,Site2,Y,Y,N,415535,1.2427,0.66
Bkgd1_N1_Site1_1.D,Bkgd,Bkgd352,352,Site1,N,Y,N,363537,2.0247,0.73
Bkgd1_N1_Site1_2.D,Bkgd,Bkgd352,352,Site1,N,Y,N,457421,1.5655,0.73
Bkgd1_N1_Site1_3.D,Bkgd,Bkgd352,352,Site1,N,Y,N,455984,1.5936,0.73
Bkgd1_N2_Site1_1.D,Bkgd,Bkgd293,293,Site1,Y,Y,N,254718,1.3017,0.66
Bkgd1_N2_Site1_2.D,Bkgd,Bkgd293,293,Site1,Y,Y,N,248495,1.1438,0.66
Bkgd1_N2_Site1_3.D,Bkgd,Bkgd293,293,Site1,Y,Y,N,319030,1.1622,0.66
Bkgd1_N3_Site1_1.D,Bkgd,Bkgd399,399,Site1,N,N,N,431493,1.3161,0.585
Bkgd1_N3_Site1_2.D,Bkgd,Bkgd399,399,Site1,N,N,N,562388,1.0786,0.585
Bkgd1_N3_Site1_3.D,Bkgd,Bkgd399,399,Site1,N,N,N,591775,1.699,0.585
Bkgd1_N4_Site1_1.D,Bkgd,Bkgd313,313,Site1,Y,Y,N,790646,2.9719,0.78
Bkgd1_N4_Site1_2.D,Bkgd,Bkgd313,313,Site1,Y,Y,N,729120,2.3363,0.78
Bkgd1_N4_Site1_3.D,Bkgd,Bkgd313,313,Site1,Y,Y,N,668557,2.9336,0.78
Bkgd1_N5_Site1_1.D,Bkgd,Bkgd257,257,Site1,N,N,N,773385,1.3981,0.695
Bkgd1_N5_Site1_2.D,Bkgd,Bkgd257,257,Site1,N,N,N,838165,1.7009,0.695
Bkgd1_N5_Site1_3.D,Bkgd,Bkgd257,257,Site1,N,N,N,463781,1.6644,0.695
Bkgd1_N6_Site1_1.D,Bkgd,Bkgd205,205,Site1,Y,Y,N,603649,3.3674,0.755
Bkgd1_N6_Site1_2.D,Bkgd,Bkgd205,205,Site1,Y,Y,N,513325,3.4584,0.755
Bkgd1_N6_Site1_3.D,Bkgd,Bkgd205,205,Site1,Y,Y,N,532450,2.9203,0.755
Bkgd246_Site2_1.D,Bkgd,Bkgd246,246,Site2,Y,Y,Y,691687,2.3814,0.725
Bkgd246_Site2_2.D,Bkgd,Bkgd246,246,Site2,Y,Y,Y,754195,1.8243,0.725
Bkgd246_Site2_3.D,Bkgd,Bkgd246,246,Site2,Y,Y,Y,593102,1.9657,0.725
Bkgd2_N1_Site1_1.D,Bkgd,Bkgd299,299,Site1,Y,Y,Y,361511,1.2424,0.725
Bkgd2_N1_Site1_2.D,Bkgd,Bkgd299,299,Site1,Y,Y,Y,346974,1.2579,0.725
Bkgd2_N1_Site1_3.D,Bkgd,Bkgd299,299,Site1,Y,Y,Y,317249,1.2389,0.725
Bkgd2_N2_Site1_1.D,Bkgd,Bkgd295,295,Site1,Y,Y,N,583334,1.0481,0.65
Bkgd2_N2_Site1_2.D,Bkgd,Bkgd295,295,Site1,Y,Y,N,482000,1.469,0.65
Bkgd2_N2_Site1_3.D,Bkgd,Bkgd295,295,Site1,Y,Y,N,571363,1.4642,0.65
Bkgd2_N3_Site1_1.D,Bkgd,Bkgd169,169,Site1,Y,Y,N,424480,1.5875,0.595
Bkgd2_N3_Site1_2.D,Bkgd,Bkgd169,169,Site1,Y,Y,N,468954,2.2511,0.595
Bkgd2_N3_Site1_3.D,Bkgd,Bkgd169,169,Site1,Y,Y,N,471508,1.8592,0.595
Bkgd2_N5_Site1_1.D,Bkgd,Bkgd225,225,Site1,Y,Y,N,826290,2.5597,0.695
Bkgd2_N5_Site1_2.D,Bkgd,Bkgd225,225,Site1,Y,Y,N,939390,2.951,0.695
Bkgd2_N5_Site1_3.D,Bkgd,Bkgd225,225,Site1,Y,Y,N,1165830,2.7024,0.695
Bkgd2_N6_Site1_1.D,Bkgd,Bkgd393,393,Site1,Y,Y,Y,330851,2.6112,0.71
Bkgd2_N6_Site1_2.D,Bkgd,Bkgd393,393,Site1,Y,Y,Y,332251,2.6862,0.71
Bkgd2_N6_Site1_3.D,Bkgd,Bkgd393,393,Site1,Y,Y,Y,404948,2.3901,0.71
Bkgd3_N1_Site1_1.D,Bkgd,Bkgd287,287,Site1,N,Y,N,342635,1.4642,0.675
Bkgd3_N1_Site1_2.D,Bkgd,Bkgd287,287,Site1,N,Y,N,358925,1.2437,0.675
Bkgd3_N1_Site1_3.D,Bkgd,Bkgd287,287,Site1,N,Y,N,408535,1.3851,0.675
Bkgd3_N2_Site1_1.D,Bkgd,Bkgd281,281,Site1,N,N,N,708383,3.0118,0.715
Bkgd3_N2_Site1_2.D,Bkgd,Bkgd281,281,Site1,N,N,N,671165,2.8456,0.715
Bkgd3_N2_Site1_3.D,Bkgd,Bkgd281,281,Site1,N,N,N,852649,2.4904,0.715
Bkgd3_N4_Site1_1.D,Bkgd,Bkgd371,371,Site1,Y,Y,Y,591174,2.5036,0.7
Bkgd3_N4_Site1_2.D,Bkgd,Bkgd371,371,Site1,Y,Y,Y,701867,2.1827,0.7
Bkgd3_N4_Site1_3.D,Bkgd,Bkgd371,371,Site1,Y,Y,Y,779533,2.5255,0.7
Bkgd3_N5_Site1_1.D,Bkgd,Bkgd159,159,Site1,Y,Y,N,639592,2.9505,0.7
Bkgd3_N5_Site1_2.D,Bkgd,Bkgd159,159,Site1,Y,Y,N,468028,2.676,0.7
Bkgd3_N5_Site1_3.D,Bkgd,Bkgd159,159,Site1,Y,Y,N,559325,2.1824,0.7
Bkgd3_N6_Site1_1.D,Bkgd,Bkgd389,389,Site1,N,N,N,256011,2.8886,0.75
Bkgd3_N6_Site1_2.D,Bkgd,Bkgd389,389,Site1,N,N,N,525344,2.8189,0.75
Bkgd3_N6_Site1_3.D,Bkgd,Bkgd389,389,Site1,N,N,N,257639,2.3592,0.75
Bkgd4_N1_Site1_1.D,Bkgd,BkgdUnmarked,Unmarked,Site1,N,N,N,935577,2.0113,0.75
Bkgd4_N1_Site1_2.D,Bkgd,BkgdUnmarked,Unmarked,Site1,N,N,N,1136503,2.0227,0.75
Bkgd4_N1_Site1_3.D,Bkgd,BkgdUnmarked,Unmarked,Site1,N,N,N,821029,2.0496,0.75
Bkgd4_N2_Site1_1.D,Bkgd,Bkgd356,356,Site1,N,Y,N,279465,1.1104,0.725
Bkgd4_N2_Site1_2.D,Bkgd,Bkgd356,356,Site1,N,Y,N,268036,1.2374,0.725
Bkgd4_N2_Site1_3.D,Bkgd,Bkgd356,356,Site1,N,Y,N,269518,1.1254,0.725
Bkgd4_N4_Site1_1.D,Bkgd,Bkgd370,370,Site1,N,Y,N,1419147,3.1276,0.73
Bkgd4_N4_Site1_2.D,Bkgd,Bkgd370,370,Site1,N,Y,N,1504778,2.7989,0.73
Bkgd4_N4_Site1_3.D,Bkgd,Bkgd370,370,Site1,N,Y,N,1501859,2.7835,0.73
Bkgd4_N5_Site1_1.D,Bkgd,Bkgd161,161,Site1,N,N,N,571619,2.2448,0.69
Bkgd4_N5_Site1_2.D,Bkgd,Bkgd161,161,Site1,N,N,N,410290,2.5868,0.69
Bkgd4_N5_Site1_3.D,Bkgd,Bkgd161,161,Site1,N,N,N,450538,2.0801,0.69
Bkgd4_N6_Site1_1.D,Bkgd,Bkgd156,156,Site1,Y,Y,Y,453563,1.6355,0.51
Bkgd4_N6_Site1_2.D,Bkgd,Bkgd156,156,Site1,Y,Y,Y,392462,1.6745,0.51
Bkgd4_N6_Site1_3.D,Bkgd,Bkgd156,156,Site1,Y,Y,Y,410693,1.6121,0.51
Bkgd510_Site3_1.D,Bkgd,Bkgd510,510,Site3,N,N,N,413881,2.8757,0.675
Bkgd510_Site3_2.D,Bkgd,Bkgd510,510,Site3,N,N,N,425301,2.8532,0.675
Bkgd510_Site3_3.D,Bkgd,Bkgd510,510,Site3,N,N,N,448815,2.1959,0.675
Bkgd511_Site3_1.D,Bkgd,Bkgd511,511,Site3,N,N,N,652305,1.83,0.635
Bkgd511_Site3_2.D,Bkgd,Bkgd511,511,Site3,N,N,N,412608,1.7096,0.635
Bkgd511_Site3_3.D,Bkgd,Bkgd511,511,Site3,N,N,N,536911,1.6405,0.635
Bkgd512_Site3_1.D,Bkgd,Bkgd512,512,Site3,Y,Y,N,454445,1.499,0.605
Bkgd512_Site3_2.D,Bkgd,Bkgd512,512,Site3,Y,Y,N,510005,1.7136,0.605
Bkgd512_Site3_3.D,Bkgd,Bkgd512,512,Site3,Y,Y,N,601499,1.3141,0.605
Bkgd513_Site3_1.D,Bkgd,Bkgd513,513,Site3,N,N,N,836067,1.0728,0.58
Bkgd513_Site3_2.D,Bkgd,Bkgd513,513,Site3,N,N,N,616947,1.2116,0.58
Bkgd513_Site3_3.D,Bkgd,Bkgd513,513,Site3,N,N,N,704155,0.8909,0.58
Bkgd516_Site3_1.D,Bkgd,Bkgd516,516,Site3,Y,Y,N,542482,1.2544,0.645
Bkgd516_Site3_2.D,Bkgd,Bkgd516,516,Site3,Y,Y,N,736031,1.4124,0.645
Bkgd516_Site3_3.D,Bkgd,Bkgd516,516,Site3,Y,Y,N,524374,1.0406,0.645
Bkgd524_Site3_1.D,Bkgd,Bkgd524,524,Site3,N,Y,N,492481,0.9798,0.655
Bkgd524_Site3_2.D,Bkgd,Bkgd524,524,Site3,N,Y,N,642231,1.1719,0.655
Bkgd524_Site3_3.D,Bkgd,Bkgd524,524,Site3,N,Y,N,596912,1.0783,0.655
Bkgd525_Site3_1.D,Bkgd,Bkgd525,525,Site3,N,N,N,861259,2.022,0.66
Bkgd525_Site3_2.D,Bkgd,Bkgd525,525,Site3,N,N,N,699897,2.358,0.66
Bkgd525_Site3_3.D,Bkgd,Bkgd525,525,Site3,N,N,N,715821,1.9664,0.66
Bkgd528_Site3_1.D,Bkgd,Bkgd528,528,Site3,N,N,N,740867,1.7656,0.665
Bkgd528_Site3_2.D,Bkgd,Bkgd528,528,Site3,N,N,N,772739,1.575,0.665
Bkgd528_Site3_3.D,Bkgd,Bkgd528,528,Site3,N,N,N,861910,1.664,0.665
Bkgd529_Site3_1.D,Bkgd,Bkgd529,529,Site3,Y,Y,N,459142,0.9791,0.64
Bkgd529_Site3_2.D,Bkgd,Bkgd529,529,Site3,Y,Y,N,517428,0.9832,0.64
Bkgd529_Site3_3.D,Bkgd,Bkgd529,529,Site3,Y,Y,N,446732,1.0034,0.64
Bkgd5_N1_Site1_1.D,Bkgd,Bkgd284,284,Site1,Y,Y,Y,332363,2.0043,0.73
Bkgd5_N1_Site1_2.D,Bkgd,Bkgd284,284,Site1,Y,Y,Y,452568,2.0379,0.73
Bkgd5_N1_Site1_3.D,Bkgd,Bkgd284,284,Site1,Y,Y,Y,453300,2.5609,0.73
Bkgd5_N2_Site1_1.D,Bkgd,Bkgd434,434,Site1,N,N,N,297092,1.9348,0.655
Bkgd5_N2_Site1_2.D,Bkgd,Bkgd434,434,Site1,N,N,N,343213,1.916,0.655
Bkgd5_N2_Site1_3.D,Bkgd,Bkgd434,434,Site1,N,N,N,315869,1.8461,0.655
Bkgd5_N3_Site1_1.D,Bkgd,Bkgd175,175,Site1,N,Y,N,309448,2.2082,0.69
Bkgd5_N3_Site1_2.D,Bkgd,Bkgd175,175,Site1,N,Y,N,568472,2.3396,0.69
Bkgd5_N3_Site1_3.D,Bkgd,Bkgd175,175,Site1,N,Y,N,489944,1.9607,0.69
Bkgd5_N4_Site1_1.D,Bkgd,Bkgd314,314,Site1,Y,Y,Y,958570,2.9758,0.69
Bkgd5_N4_Site1_2.D,Bkgd,Bkgd314,314,Site1,Y,Y,Y,1231572,2.7738,0.69
Bkgd5_N4_Site1_3.D,Bkgd,Bkgd314,314,Site1,Y,Y,Y,954202,2.5585,0.69
Bkgd5_N5_Site1_1.D,Bkgd,Bkgd387,387,Site1,N,Y,N,456537,2.5142,0.76
Bkgd5_N5_Site1_2.D,Bkgd,Bkgd387,387,Site1,N,Y,N,390494,2.5437,0.76
Bkgd5_N5_Site1_3.D,Bkgd,Bkgd387,387,Site1,N,Y,N,575194,2.1365,0.76
Bkgd5_N6_Site1_1.D,Bkgd,Bkgd154,154,Site1,N,N,N,476668,2.9178,0.735
Bkgd5_N6_Site1_2.D,Bkgd,Bkgd154,154,Site1,N,N,N,377116,2.3016,0.735
Bkgd5_N6_Site1_3.D,Bkgd,Bkgd154,154,Site1,N,N,N,305625,2.375,0.735
Bkgd90_Site2_1.D,Bkgd,Bkgd90,90,Site2,N,N,N,523895,2.271,0.73
Bkgd90_Site2_2.D,Bkgd,Bkgd90,90,Site2,N,N,N,600906,2.2274,0.73
Bkgd90_Site2_3.D,Bkgd,Bkgd90,90,Site2,N,N,N,458857,2.2678,0.73
Burr101_Site2_1.D,Burr,Burr101,101,Site2,Y,Y,Y,331817,1.6028,0.715
Burr101_Site2_2.D,Burr,Burr101,101,Site2,Y,Y,Y,411778,1.8682,0.715
Burr101_Site2_3.D,Burr,Burr101,101,Site2,Y,Y,Y,452953,1.3262,0.715
Burr103_Site2_1.D,Burr,Burr103,103,Site2,Y,Y,Y,384843,1.8688,0.745
Burr103_Site2_2.D,Burr,Burr103,103,Site2,Y,Y,Y,416424,1.9532,0.745
Burr103_Site2_3.D,Burr,Burr103,103,Site2,Y,Y,Y,338473,1.8938,0.745
Burr109_Site2_1.D,Burr,Burr109,109,Site2,N,Y,N,439891,1.2031,0.65
Burr109_Site2_2.D,Burr,Burr109,109,Site2,N,Y,N,562800,1.5287,0.65
Burr109_Site2_3.D,Burr,Burr109,109,Site2,N,Y,N,705332,1.2465,0.65
Burr118_Site2_1.D,Burr,Burr118,118,Site2,Y,Y,N,509570,2.3226,0.76
Burr118_Site2_2.D,Burr,Burr118,118,Site2,Y,Y,N,551150,1.9149,0.76
Burr118_Site2_3.D,Burr,Burr118,118,Site2,Y,Y,N,603085,2.0413,0.76
Burr131_Site2_1.D,Burr,Burr131,131,Site2,Y,Y,Y,598178,1.2808,0.69
Burr131_Site2_2.D,Burr,Burr131,131,Site2,Y,Y,Y,540353,1.2756,0.69
Burr131_Site2_3.D,Burr,Burr131,131,Site2,Y,Y,Y,476669,1.3987,0.69
Burr147_Site2_1.D,Burr,Burr147,147,Site2,Y,Y,N,899223,1.7,0.68
Burr147_Site2_2.D,Burr,Burr147,147,Site2,Y,Y,N,729507,2.0256,0.68
Burr147_Site2_3.D,Burr,Burr147,147,Site2,Y,Y,N,672344,1.9668,0.68
Burr154_Site1_1.D,Burr,Burr154,154,Site1,N,N,N,579417,2.4076,0.73
Burr154_Site1_2.D,Burr,Burr154,154,Site1,N,N,N,453325,2.1923,0.73
Burr154_Site1_3.D,Burr,Burr154,154,Site1,N,N,N,425334,3.3959,0.73
Burr156_Site1_1.D,Burr,Burr156,156,Site1,Y,Y,Y,251793,2.4081,0.57
Burr156_Site1_2.D,Burr,Burr156,156,Site1,Y,Y,Y,364082,1.4923,0.57
Burr156_Site1_3.D,Burr,Burr156,156,Site1,Y,Y,Y,358252,1.8607,0.57
Burr159_Site1_1.D,Burr,Burr159,159,Site1,Y,Y,N,362461,2.7338,0.7
Burr159_Site1_2.D,Burr,Burr159,159,Site1,Y,Y,N,355166,2.8944,0.7
Burr159_Site1_3.D,Burr,Burr159,159,Site1,Y,Y,N,335972,2.407,0.7
Burr161_Site1_1.D,Burr,Burr161,161,Site1,N,N,N,360999,2.4741,0.6
Burr161_Site1_2.D,Burr,Burr161,161,Site1,N,N,N,573676,2.5909,0.6
Burr161_Site1_3.D,Burr,Burr161,161,Site1,N,N,N,395912,2.2827,0.6
Burr169_Site1_1.D,Burr,Burr169,169,Site1,Y,Y,N,478971,1.1987,0.57
Burr169_Site1_2.D,Burr,Burr169,169,Site1,Y,Y,N,545669,1.6055,0.57
Burr169_Site1_3.D,Burr,Burr169,169,Site1,Y,Y,N,583692,1.2523,0.57
Burr175_Site1_1.D,Burr,Burr175,175,Site1,N,Y,N,785012,1.7283,0.645
Burr175_Site1_2.D,Burr,Burr175,175,Site1,N,Y,N,1140232,1.8142,0.645
Burr175_Site1_3.D,Burr,Burr175,175,Site1,N,Y,N,991074,1.843,0.645
Burr205_Site1_1.D,Burr,Burr205,205,Site1,Y,Y,N,365542,2.4113,0.72
Burr205_Site1_2.D,Burr,Burr205,205,Site1,Y,Y,N,339312,3,0.72
Burr205_Site1_3.D,Burr,Burr205,205,Site1,Y,Y,N,373345,2.3418,0.72
Burr225_Site1_1.D,Burr,Burr225,225,Site1,Y,Y,N,393034,2.4784,0.61
Burr225_Site1_2.D,Burr,Burr225,225,Site1,Y,Y,N,584736,2.0096,0.61
Burr225_Site1_3.D,Burr,Burr225,225,Site1,Y,Y,N,571545,1.8165,0.61
Burr246_Site2_1.D,Burr,Burr246,246,Site2,Y,Y,Y,378194,1.5977,0.735
Burr246_Site2_2.D,Burr,Burr246,246,Site2,Y,Y,Y,463888,1.5372,0.735
Burr246_Site2_3.D,Burr,Burr246,246,Site2,Y,Y,Y,497232,1.2975,0.735
Burr257_Site1_1.D,Burr,Burr257,257,Site1,N,N,N,429142,1.9177,0.725
Burr257_Site1_2.D,Burr,Burr257,257,Site1,N,N,N,404626,2.0564,0.725
Burr257_Site1_3.D,Burr,Burr257,257,Site1,N,N,N,476026,1.814,0.725
Burr281_Site1_1.D,Burr,Burr281,281,Site1,N,N,N,442101,2.1407,0.71
Burr281_Site1_2.D,Burr,Burr281,281,Site1,N,N,N,582284,2.2627,0.71
Burr281_Site1_3.D,Burr,Burr281,281,Site1,N,N,N,494420,2.2174,0.71
Burr284_Site1_1.D,Burr,Burr284,284,Site1,Y,Y,Y,432734,1.5181,0.71
Burr284_Site1_2.D,Burr,Burr284,284,Site1,Y,Y,Y,332842,1.5513,0.71
Burr284_Site1_3.D,Burr,Burr284,284,Site1,Y,Y,Y,365060,1.4787,0.71
Burr287_Site1_1.D,Burr,Burr287,287,Site1,N,Y,N,611114,1.2587,0.68
Burr287_Site1_2.D,Burr,Burr287,287,Site1,N,Y,N,822030,1.7103,0.68
Burr287_Site1_3.D,Burr,Burr287,287,Site1,N,Y,N,986417,1.3335,0.68
Burr293_Site1_1.D,Burr,Burr293,293,Site1,Y,Y,N,609182,1.4981,0.685
Burr293_Site1_2.D,Burr,Burr293,293,Site1,Y,Y,N,663168,1.8121,0.685
Burr293_Site1_3.D,Burr,Burr293,293,Site1,Y,Y,N,689074,1.876,0.685
Burr295_Site1_1.D,Burr,Burr295,295,Site1,Y,Y,N,961122,1.7875,0.71
Burr295_Site1_2.D,Burr,Burr295,295,Site1,Y,Y,N,1049959,1.8125,0.71
Burr295_Site1_3.D,Burr,Burr295,295,Site1,Y,Y,N,664830,1.7561,0.71
Burr299_Site1_1.D,Burr,Burr299,299,Site1,Y,Y,Y,715277,1.3596,0.705
Burr299_Site1_2.D,Burr,Burr299,299,Site1,Y,Y,Y,718204,1.4362,0.705
Burr299_Site1_3.D,Burr,Burr299,299,Site1,Y,Y,Y,614054,1.5818,0.705
Burr313_Site1_1.D,Burr,Burr313,313,Site1,Y,Y,N,649289,2.4301,0.67
Burr313_Site1_2.D,Burr,Burr313,313,Site1,Y,Y,N,829543,2.6461,0.67
Burr313_Site1_3.D,Burr,Burr313,313,Site1,Y,Y,N,845612,2.2714,0.67
Burr314_Site1_1.D,Burr,Burr314,314,Site1,Y,Y,Y,1138405,3.004,0.715
Burr314_Site1_2.D,Burr,Burr314,314,Site1,Y,Y,Y,945395,2.3243,0.715
Burr314_Site1_3.D,Burr,Burr314,314,Site1,Y,Y,Y,800302,2.9242,0.715
Burr352_Site1_1.D,Burr,Burr352,352,Site1,N,Y,N,430550,1.9869,0.705
Burr352_Site1_2.D,Burr,Burr352,352,Site1,N,Y,N,410209,1.8202,0.705
Burr352_Site1_3.D,Burr,Burr352,352,Site1,N,Y,N,322899,1.3813,0.705
Burr356_Site1_1.D,Burr,Burr356,356,Site1,N,Y,N,401705,1.9836,0.72
Burr356_Site1_2.D,Burr,Burr356,356,Site1,N,Y,N,387760,2.3265,0.72
Burr356_Site1_3.D,Burr,Burr356,356,Site1,N,Y,N,421729,2.2902,0.72
Burr370_Site1_1.D,Burr,Burr370,370,Site1,N,Y,N,840912,2.3785,0.71
Burr370_Site1_2.D,Burr,Burr370,370,Site1,N,Y,N,694116,2.7152,0.71
Burr370_Site1_3.D,Burr,Burr370,370,Site1,N,Y,N,871431,2.7204,0.71
Burr371_Site1_1.D,Burr,Burr371,371,Site1,Y,Y,Y,822360,2.1262,0.68
Burr371_Site1_2.D,Burr,Burr371,371,Site1,Y,Y,Y,982210,2.4722,0.68
Burr371_Site1_3.D,Burr,Burr371,371,Site1,Y,Y,Y,1035821,2.2605,0.68
Burr387_Site1_1.D,Burr,Burr387,387,Site1,N,Y,N,603155,3.0137,0.73
Burr387_Site1_2.D,Burr,Burr387,387,Site1,N,Y,N,518202,2.8833,0.73
Burr387_Site1_3.D,Burr,Burr387,387,Site1,N,Y,N,501443,2.5017,0.73
Burr389_Site1_1.D,Burr,Burr389,389,Site1,N,N,N,505804,2.7055,0.725
Burr389_Site1_2.D,Burr,Burr389,389,Site1,N,N,N,505545,2.5806,0.725
Burr389_Site1_3.D,Burr,Burr389,389,Site1,N,N,N,613414,2.6445,0.725
Burr393_Site1_1.D,Burr,Burr393,393,Site1,Y,Y,Y,393655,2.6832,0.715
Burr393_Site1_2.D,Burr,Burr393,393,Site1,Y,Y,Y,477212,2.7494,0.715
Burr393_Site1_3.D,Burr,Burr393,393,Site1,Y,Y,Y,491753,2.4431,0.715
Burr399_Site1_1.D,Burr,Burr399,399,Site1,N,N,N,856000,0.8364,0.49
Burr399_Site1_2.D,Burr,Burr399,399,Site1,N,N,N,872201,0.8715,0.49
Burr399_Site1_3.D,Burr,Burr399,399,Site1,N,N,N,858671,0.8348,0.49
Burr434_Site1_1.D,Burr,Burr434,434,Site1,N,N,N,629031,1.9723,0.685
Burr434_Site1_2.D,Burr,Burr434,434,Site1,N,N,N,575493,2.1106,0.685
Burr434_Site1_3.D,Burr,Burr434,434,Site1,N,N,N,439932,1.9218,0.685
Burr510_Site3_1.D,Burr,Burr510,510,Site3,N,N,N,569403,2.0266,0.7
Burr510_Site3_2.D,Burr,Burr510,510,Site3,N,N,N,729442,2.1242,0.7
Burr510_Site3_3.D,Burr,Burr510,510,Site3,N,N,N,680016,2.0034,0.7
Burr511_Site3_1.D,Burr,Burr511,511,Site3,N,N,N,847914,1.4674,0.65
Burr511_Site3_2.D,Burr,Burr511,511,Site3,N,N,N,847533,1.7429,0.65
Burr511_Site3_3.D,Burr,Burr511,511,Site3,N,N,N,773372,1.7132,0.65
Burr512_Site3_1.D,Burr,Burr512,512,Site3,Y,Y,N,957439,1.5884,0.63
Burr512_Site3_2.D,Burr,Burr512,512,Site3,Y,Y,N,966903,1.5846,0.63
Burr512_Site3_3.D,Burr,Burr512,512,Site3,Y,Y,N,967983,1.7659,0.63
Burr513_Site3_1.D,Burr,Burr513,513,Site3,N,N,N,768959,1.2254,0.63
Burr513_Site3_2.D,Burr,Burr513,513,Site3,N,N,N,876561,1.3949,0.63
Burr513_Site3_3.D,Burr,Burr513,513,Site3,N,N,N,1367637,1.4369,0.63
Burr516_Site3_1.D,Burr,Burr516,516,Site3,Y,Y,N,779485,1.7933,0.66
Burr516_Site3_2.D,Burr,Burr516,516,Site3,Y,Y,N,906150,2.0434,0.66
Burr516_Site3_3.D,Burr,Burr516,516,Site3,Y,Y,N,946355,1.4244,0.66
Burr524_Site3_1.D,Burr,Burr524,524,Site3,N,Y,N,798043,1.7571,0.68
Burr524_Site3_2.D,Burr,Burr524,524,Site3,N,Y,N,740641,1.7863,0.68
Burr524_Site3_3.D,Burr,Burr524,524,Site3,N,Y,N,921286,1.4121,0.68
Burr525_Site3_1.D,Burr,Burr525,525,Site3,N,N,N,786452,1.8549,0.715
Burr525_Site3_2.D,Burr,Burr525,525,Site3,N,N,N,781118,1.7424,0.715
Burr525_Site3_3.D,Burr,Burr525,525,Site3,N,N,N,752358,1.6002,0.715
Burr528_Site3_1.D,Burr,Burr528,528,Site3,N,N,N,1151952,1.8414,0.68
Burr528_Site3_2.D,Burr,Burr528,528,Site3,N,N,N,1107468,1.8965,0.68
Burr528_Site3_3.D,Burr,Burr528,528,Site3,N,N,N,650414,1.8511,0.68
Burr529_Site3_1.D,Burr,Burr529,529,Site3,Y,Y,N,657661,1.1341,0.64
Burr529_Site3_2.D,Burr,Burr529,529,Site3,Y,Y,N,729782,1.2518,0.64
Burr529_Site3_3.D,Burr,Burr529,529,Site3,Y,Y,N,816351,1.1992,0.64
Burr90_Site2_1.D,Burr,Burr90,90,Site2,N,N,N,790459,1.505,0.68
Burr90_Site2_2.D,Burr,Burr90,90,Site2,N,N,N,598167,1.5735,0.68
Burr90_Site2_3.D,Burr,Burr90,90,Site2,N,N,N,612740,1.5691,0.68
BurrUnmarked_Site1_1.D,Burr,BurrUnmarked,Unmarked,Site1,N,N,N,679681,2.8906,0.755
BurrUnmarked_Site1_2.D,Burr,BurrUnmarked,Unmarked,Site1,N,N,N,557727,3.5228,0.755
BurrUnmarked_Site1_3.D,Burr,BurrUnmarked,Unmarked,Site1,N,N,N,468498,2.9823,0.755